Date,Preço,MA7,MA25,NumTransacoes
2021-02-08,3915.590088,3831.248604857143,3807.4288183199997,4648360000
2021-02-09,3911.22998,3859.390032,3815.8520214399996,4568320000
2021-02-10,3909.879883,3878.8214285714284,3823.1728124799997,4837070000
2021-02-11,3916.379883,3891.688546285714,3829.90241208,4590960000
2021-02-12,3934.830078,3906.639997142857,3835.1440136399997,4135060000
2021-02-16,3932.590088,3915.332868285714,3839.46041988,5058990000
2021-02-17,3931.330078,3921.690011142857,3844.7292187199996,4730650000
2021-02-18,3913.969971,3921.4585658571427,3849.24041992,4793650000
2021-02-19,3906.709961,3920.812848857143,3853.1152148399997,4845320000
2021-02-22,3876.5,3916.044294142857,3856.3536132799995,5917100000
2021-02-23,3881.370117,3911.042899,3860.8784179599998,6296610000
2021-02-24,3925.429932,3909.700021,3865.93921876,6012790000
2021-02-25,3829.340088,3894.950021,3865.0388183600003,6547470000
2021-02-26,3811.149902,3877.781424428572,3863.36201172,6526070000
2021-03-01,3901.820068,3876.045724,3865.7760156,5114820000
2021-03-02,3870.290039,3870.842878,3866.3732128799998,5536010000
2021-03-03,3819.719971,3862.731445285714,3865.1772070399998,6173660000
2021-03-04,3768.469971,3846.602853,3865.8852050799997,7195400000
2021-03-05,3841.939941,3834.6757114285715,3868.0676074,6851070000
2021-03-08,3821.350098,3833.5342842857144,3872.3520117199996,5871710000
2021-03-09,3875.439941,3842.7185755714286,3876.41520508,5513560000
2021-03-10,3898.810059,3842.2885742857143,3879.31520508,5847380000
2021-03-11,3939.340088,3852.152867,3883.6820117200004,5312880000
2021-03-12,3943.340088,3869.812883714286,3886.54601564,4476280000
2021-03-15,3968.939941,3898.4514508571433,3889.8304101599997,4900100000
2021-03-16,3962.709961,3915.704310857143,3891.71520508,4613080000
2021-03-17,3974.120117,3937.528599285714,3894.2308105600005,4561660000
2021-03-18,3915.459961,3943.245745,3894.45401368,5118590000
2021-03-19,3913.100098,3945.2871791428565,3894.32282228,7757420000
2021-03-22,3940.590088,3945.4657505714285,3894.55322268,4316260000
2021-03-23,3910.52002,3940.7771694285716,3893.67041996,4669010000
2021-03-24,3889.139893,3929.3771625714285,3891.9828125599997,4783020000
2021-03-25,3909.52002,3921.7785995714285,3891.8048145200005,4948340000
2021-03-26,3974.540039,3921.8385884285713,3894.5180176400004,5483160000
2021-03-29,3971.090088,3929.7857494285713,3898.30162116,4628180000
2021-03-30,3958.550049,3936.278599571429,3901.3888184400003,4121510000
2021-03-31,3972.889893,3940.8928574285715,3903.2872168800004,4578050000
2021-04-01,4019.870117,3956.5142998571428,3910.9084180399996,4162130000
2021-04-05,4077.909912,3983.481445428571,3921.5788184400003,4005030000
2021-04-06,4073.939941,4006.9700055714284,3928.46361336,4081270000
2021-04-07,4079.949951,4022.028564428572,3936.85000984,4120810000
2021-04-08,4097.169922,4040.039969285714,3947.9480078799998,3907100000
2021-04-09,4128.799805,4064.361363,3962.36120124,3640390000
2021-04-12,4127.990234,4086.518554571429,3973.8032129599997,3588900000
2021-04-13,4141.589844,4103.9070870000005,3986.6128028000003,3734720000
2021-04-14,4124.660156,4110.585693285714,3996.5816114,3985350000
2021-04-15,4170.419922,4124.368547714285,4007.44600592,4033420000
2021-04-16,4185.470215,4139.442871142857,4017.2912109999997,4163820000
2021-04-19,4163.259766,4148.884277428571,4026.08799812,3810290000
2021-04-20,4134.939941,4149.761439714285,4032.72799812,4342650000
2021-04-21,4173.419922,4156.251395142857,4041.1563965600003,3887250000
2021-04-22,4134.97998,4155.307128857143,4047.5907910799997,4245140000
2021-04-23,4180.169922,4163.237095428572,4058.17918952,3569880000
2021-04-26,4187.620117,4165.6942661428575,4069.15999028,3748320000
2021-04-27,4186.720215,4165.872837571429,4079.0051953599996,3710700000
2021-04-28,4183.180176,4168.718610428571,4089.9116016000003,3787360000
2021-04-29,4211.470215,4179.6515067142855,4102.8048144800005,4298680000
2021-04-30,4181.169922,4180.758649571429,4113.67081056,4300880000
2021-05-03,4192.660156,4188.998674714286,4122.39561524,4070220000
2021-05-04,4164.660156,4186.782993857143,4130.13841796,4452460000
2021-05-05,4167.589844,4183.921526285714,4138.50000976,4230920000
2021-05-06,4201.620117,4186.050083714285,4147.64921872,4511000000
2021-05-07,4232.600098,4193.110072571429,4156.15841796,4016080000
2021-05-10,4188.430176,4189.818638428572,4160.57922852,4560700000
2021-05-11,4152.100098,4185.665806428571,4163.7056348,4870710000
2021-05-12,4063.040039,4167.148646857143,4163.02923832,4733070000
2021-05-13,4112.5,4159.697196,4163.64244144,4779540000
2021-05-14,4173.850098,4160.591518,4165.44445316,4008880000
2021-05-17,4163.290039,4155.115792571429,4166.85644536,4125050000
2021-05-18,4127.830078,4140.148646857143,4166.30605472,4398150000
2021-05-19,4115.680176,4129.755789714286,4165.94685552,4247450000
2021-05-20,4159.120117,4130.758649571429,4165.49486332,3978880000
2021-05-21,4155.859863,4144.0186244285715,4164.31044924,3995250000
2021-05-24,4197.049805,4156.097168,4165.6620508,3684800000
2021-05-25,4188.129883,4158.137137285715,4167.78964848,4182250000
2021-05-26,4195.990234,4162.808593714286,4168.69246096,4420890000
2021-05-27,4200.879883,4173.244280142857,4171.32845708,6406310000
2021-05-28,4204.109863,4185.877092571429,4172.28605472,4649250000
2021-06-01,4202.040039,4192.00851,4172.8628516,5074670000
2021-06-02,4208.120117,4199.474260571428,4173.71884768,5833670000
2021-06-03,4192.850098,4198.874302428571,4174.10564456,5587970000
2021-06-04,4229.890137,4204.840053,4174.84244144,4139790000
