Date,Preço,MA7,MA25,NumTransacoes
2021-12-22,4696.560059,4649.580008571428,4647.4744336799995,3319610000
2021-12-23,4725.790039,4662.680036428572,4648.959238359999,2913040000
2021-12-27,4791.189941,4674.3000139999995,4652.42523444,2770290000
2021-12-28,4786.350098,4691.111467714286,4655.96083992,2707920000
2021-12-29,4793.060059,4715.742885142857,4660.365644640001,2963310000
2021-12-30,4778.72998,4745.844308,4663.886836039999,3124950000
2021-12-31,4766.180176,4762.551478857144,4666.47564464,2677820000
2022-01-03,4796.560059,4776.837193142857,4674.55324232,3831020000
2022-01-04,4793.540039,4786.515764571429,4680.08404308,4683170000
2022-01-05,4700.580078,4773.571498428571,4685.4272462,4887960000
2022-01-06,4696.049805,4760.671456571429,4692.74763684,4295280000
2022-01-07,4677.029785,4744.095703142857,4696.744824320001,4181510000
2022-01-10,4670.290039,4728.604283000001,4702.01921884,4511810000
2022-01-11,4713.069824,4721.017089857143,4706.87521492,4101590000
2022-01-12,4726.350098,4710.987095428572,4708.45921884,4048220000
2022-01-13,4659.029785,4691.771344857143,4706.7720118,4251730000
2022-01-14,4662.850098,4686.381347714285,4706.58800792,4338490000
2022-01-18,4577.109863,4669.389927428571,4701.19160164,4748700000
2022-01-19,4532.759766,4648.779924714286,4695.743183680001,4465740000
2022-01-20,4482.72998,4621.985630571428,4689.68878912,4640870000
2022-01-21,4397.939941,4576.967075857143,4677.21238284,5589100000
2022-01-24,4410.129883,4531.792759428571,4666.870781279999,6928110000
2022-01-25,4356.450195,4488.567103714285,4656.3031836,5145050000
2022-01-26,4349.930176,4443.8642577142855,4647.57958984,5570640000
2022-01-27,4326.509766,4408.064243857143,4634.6707812800005,5214200000
2022-01-28,4431.850098,4393.648577,4624.08238284,5031090000
2022-01-31,4515.549805,4398.337123428571,4615.672773480001,5098610000
2022-02-01,4546.540039,4419.565708857143,4605.8867774,4816830000
2022-02-02,4589.379883,4445.172851714286,4598.0079688000005,4481580000
2022-02-03,4477.439941,4462.457101142857,4585.38316408,4401970000
2022-02-04,4500.529785,4483.971331,4574.25515628,4706290000
2022-02-07,4483.870117,4506.451381142857,4562.96275392,4228480000
2022-02-08,4521.540039,4519.264229857143,4551.96195312,4459620000
2022-02-09,4587.180176,4529.49714,4543.7075586,4524350000
2022-02-10,4504.080078,4523.431431285714,4535.8475586,5314860000
2022-02-11,4418.640137,4499.040039,4524.75117188,5251500000
2022-02-14,4401.669922,4488.2157505714285,4513.73677736,4600390000
2022-02-15,4471.069824,4484.007184714286,4505.767968759999,4430830000
2022-02-16,4475.009766,4482.741420285714,4496.24556644,4283640000
2022-02-17,4380.259766,4462.558524142857,4482.40195316,4539420000
2022-02-18,4348.870117,4428.51423,4469.99556644,4708060000
2022-02-22,4304.759766,4400.039899714286,4455.67195316,5121900000
2022-02-23,4225.5,4372.448451571428,4441.60755864,4797430000
2022-02-24,4288.700195,4356.309919142857,4431.8451758,6752130000
2022-02-25,4384.649902,4343.964216,4427.92197268,5177060000
2022-02-28,4373.939941,4329.525669571429,4426.96197268,6071370000
2022-03-01,4306.259766,4318.954241,4422.807168,5846230000
2022-03-02,4386.540039,4324.335658428571,4424.01076176,5337870000
2022-03-03,4363.490234,4332.725725285714,4424.55316408,5039890000
2022-03-04,4328.870117,4347.492884857143,4424.64757812,5797380000
2022-03-07,4201.089844,4334.977120428572,4415.41716796,6940470000
2022-03-08,4170.700195,4304.412876571429,4401.62318356,7243120000
2022-03-09,4277.879883,4290.690011142858,4390.87677732,5662670000
2022-03-10,4259.52002,4284.012904571429,4377.6823828,4980830000
2022-03-11,4204.310059,4257.980050285714,4366.75718752,4938640000
