Hoje,Amanha
"71.57","73.88"
"73.88","71.76"
"71.76","73.67"
"73.67","72.55"
"72.55","73.51"
"73.51","77.1"
"77.1","75.32"
"75.32","72.72"
"72.72","77.45"
"77.45","75.15"
"75.15","75.58"
"75.58","77.74"
"77.74","78.69"
"78.69","76.86"
"76.86","76.73"
"76.73","73.79"
"73.79","71.89"
"71.89","72.9"
"72.9","72.96"
"72.96","76"
"76","77.87"
"77.87","75.87"
"75.87","74.35"
"74.35","73.62"
"73.62","74.19"
"74.19","74.16"
"74.16","76.23"
"76.23","75.86"
"75.86","77.76"
"77.76","78.05"
"78.05","77.62"
"77.62","77.76"
"77.76","78.6"
"78.6","78.54"
"78.54","77.99"
"77.99","78.32"
"78.32","77.78"
"77.78","79.58"
"79.58","78.74"
"78.74","82.14"
"82.14","83.56"
"83.56","82.37"
"82.37","79.01"
"79.01","72.57"
"72.57","76.38"
"76.38","76.96"
"76.96","77.84"
"77.84","77.1"
"77.1","76.31"
"76.31","75.4"
"75.4","75.4"
"75.4","75.49"
"75.49","73.64"
"73.64","73.85"
"73.85","71.57"
"71.57","73.48"
"73.48","73.59"
"73.59","74.03"
"74.03","73.78"
"73.78","75.44"
"75.44","74.25"
"74.25","74.14"
"74.14","73.57"
"73.57","74.29"
"74.29","72.65"
"72.65","72.73"
"72.73","75.61"
"75.61","74.39"
"74.39","74.16"
"74.16","74.96"
"74.96","75.44"
"75.44","77.24"
"77.24","75.36"
"75.36","75.78"
"75.78","76.46"
"76.46","74.64"
"74.64","77.42"
"77.42","76.64"
"76.64","76.53"
"76.53","75.5"
"75.5","75.13"
"75.13","75.78"
"75.78","75.66"
"75.66","75.79"
"75.79","77.47"
"77.47","78.87"
"78.87","79.29"
"79.29","79.02"
"79.02","78.37"
"78.37","78.95"
"78.95","78.99"
"78.99","77.63"
"77.63","77.22"
"77.22","77.07"
"77.07","78.68"
"78.68","82.72"
"82.72","82.41"
"82.41","83.41"
"83.41","85"
"85","84.47"
"84.47","86.05"
"86.05","88.35"
"88.35","86.48"
"86.48","86.27"
"86.27","85.41"
"85.41","85.86"
"85.86","84.88"
"84.88","85.27"
"85.27","86.63"
"86.63","87.71"
"87.71","88.38"
"88.38","86.75"
"86.75","84.95"
"84.95","83.89"
"83.89","83.95"
"83.95","82.99"
"82.99","83.04"
"83.04","84.3"
"84.3","86.07"
"86.07","84.8"
"84.8","85.92"
"85.92","86.74"
"86.74","86.57"
"86.57","88.47"
"88.47","87.01"
"87.01","88.45"
"88.45","89.53"
"89.53","90.01"
"90.01","90.78"
"90.78","90.16"
"90.16","89.31"
"89.31","88.83"
"88.83","88.52"
"88.52","87.6"
"87.6","88.51"
"88.51","88.27"
"88.27","89.36"
"89.36","90.8"
"90.8","89.66"
"89.66","90.05"
"90.05","87.17"
"87.17","88.3"
"88.3","86.96"
"86.96","85.97"
"85.97","88.39"
"88.39","89.79"
"89.79","90.62"
"90.62","90.65"
"90.65","95.88"
"95.88","93.92"
"93.92","95.04"
"95.04","93.53"
"93.53","95.56"
"95.56","97.78"
"97.78","98.6"
"98.6","97.91"
"97.91","97.76"
"97.76","97.01"
"97.01","96.88"
"96.88","98.3"
"98.3","98.2"
"98.2","98.66"
"98.66","98.02"
"98.02","98.82"
"98.82","98.91"
"98.91","100.11"
"100.11","102.28"
"102.28","101.41"
"101.41","101.21"
"101.21","100.4"
"100.4","105.39"
